VERB	WORD_ID	SENTENCE	LEMMA	PASS	PART	SCF	IN/RP	CORRECT SCF	CORRECT IN/RP	STC_ID	COMMENT
live	6	"You can do that and [live] in luxury in my three bedrooms , two bathrooms apartment ."	live	0	0	prep=>pobj	in	prep=>pobj	in	4	#
consult	10	"Although , I have some advice , you should [consult] a doctor or medical professional for help and practique sportes ."	consult	0	0	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	5	#
practique	19	"Although , I have some advice , you should consult a doctor or medical professional for help and [practique] sportes ."	practise	0	0	dobj_N	0	dobj_N	0	5	[practique] is not a verb. Probably [practise] is meant.
prepred	13	I have ten years of experience and I believe I am well [prepred] for the position .	prepare	0	1	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	7	Spelling mistake: [prepred] should be [prepared]
aked	2	"When [aked] what the most disliked English accents was , 55 % people said ` those from the midlands area of the UK ' , followed by 45 % said ` liverpool accents ' ."	ask	0	1	ccomp_WHCOMP:dobj_N	0	ccomp_WHCOMP:dobj_N	0	9	#
followed	26	"When aked what the most disliked English accents was , 55 % people said ` those from the midlands area of the UK ' , [followed] by 45 % said ` liverpool accents ' ."	follow	0	1	dobj_N	0	dobj_N	0	9	#
concern	11	"i am not a socialist or a capitalist , i [concern] every tiny things happening everyday and evereynight around you ."	concern	0	0	dobj_N	0	dobj_N:prep=>pobj	with	12	Original sentence should read: [I am concerned with]
happening	15	"i am not a socialist or a capitalist , i concern every tiny things [happening] everyday and evereynight around you ."	happen	0	0	prep=>pobj	around	prep=>pobj	around	12	#
lies	21	"One day the butler discovers the dead body of Montgomery on floor of the workroom , next to the body [lies] a bloody jewel-encrusted dagger , the murder weapon ."	lie	0	0	prep=>pobj	next to	prep=>pobj	next to	18	#
writing	3	I am [writing] to you to express my point of view about Super-Mart .	write	0	0	prep=>pobj	to	prep=>pobj	to	23	#
seen	11	"The objects in the painting is fragmented , as if [seen] from multiple viewpoints ."	see	0	1	dobj_N:prep=>pobj	from	dobj_N:prep=>pobj	from	25	#
was	8	I know very well how difficult it [was] to achieve such a great result .	be	0	0	acomp	0	acomp	0	29	#
called	4	"My son is [called] Nik , he is wearing a blue or brown T-shirt and a blue or black short ."	call	1	0	dobj_N:xcomp_N	0	dobj_N:xcomp_N	0	30	#
Give	1	[Give] ten turns to each player .	give	0	0	dobj_N:prep=>pobj	to	dobj_N:prep=>pobj	to	32	#
meet	3	We should [meet] at 11am .	meet	0	0	su	0	su	0	36	#
working	4	"Now I am [working] in a factory as a manager , I believe I have potential energy to fufill the new task ."	work	0	0	prep=>pobj:prep=>pobj	in-as	prep=>pobj:prep=>pobj	in-as	38	#
though	2	I [though] it was Mykonos so that I took off the ferry when it had stopped .	think	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	39	Spelling mistake: [though] should be [thought]
took	9	I though it was Mykonos so that I [took] off the ferry when it had stopped .	take	0	0	dobj_N:prt	off	dobj_N:prt	off	39	#
persuade	3	I will [persuade] our local coffe shop manager to create special prices and promotions for different kind of students profile .	persuade	0	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	40	#
think	4	Why do you [think] you have been replaced ?	think	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	45	#
born	3	"I was [born] on November 11,1978 in a village , where I spend most of my childhood ."	bear	1	0	dobj_N	0	dobj_N	0	46	#
are	22	"The employees are really happy with all necessary equipment to do their job , they understand what their aims and objectives [are] ."	be	0	0	acomp	0	acomp	0	47	#
be	3	You 'll [be] able to feed them by yourself .	be	0	0	acomp	0	acomp	0	49	#
succeeds	26	"Looking at the article again , I have to say that the devil is not so black as it is painted - if the author [succeeds] in making at least one person happy , I 'm ready to take my words back ."	succeed	0	0	prep=>pcomp_VING	in	prep=>pcomp_VING	in	53	#
making	28	"Looking at the article again , I have to say that the devil is not so black as it is painted - if the author succeeds in [making] at least one person happy , I 'm ready to take my words back ."	make	0	0	dobj_N:xcomp_ADJ	0	dobj_N:xcomp_ADJ	0	53	#
find	2	"Please [find] enclosed a budget outline -- it includes my income , expenses and savings per month ."	find	0	0	dobj_N:xcomp_VEN	0	dobj_N:xcomp_VEN	0	55	#
say	21	"The airport is too big , it 's crowded , there is many strange people here , I have to [say] you I 'm lost ."	say	0	0	newframe	0	ccomp_VTENSED	0	56	newframe:ccomp_VTENSED:iobj
succeed	15	But I think that love for children and knowledge would be quite enough to [succeed] in your work .	succeed	0	0	prep=>pobj	in	prep=>pobj	in	58	#
'm	6	My name 's Luxanna I ['m] form Hubei .	be	0	0	prep=>pobj	from	prep=>pobj	from	59	#
knocked	6	"If all the bottles are [knocked] down , then the player takes two more shots and all the points are added together ."	knock	1	0	dobj_N:prt	down	dobj_N:prt	down	60	#
added	21	"If all the bottles are knocked down , then the player takes two more shots and all the points are [added] together ."	add	1	0	advmod:dobj_N	together	advmod:dobj_N	together	60	#
life	2	"I [life] in a flat with 5 people , sometimes i like it and sometimes it 's too much for me ."	live	0	0	prep=>pobj	in	prep=>pobj	in	61	Spelling mistake: [life] should be [live]
cooking	14	"I 'm decorating my living room , talking on the fone , and [cooking] for dinner ."	cook	0	0	prep=>pobj	for	dobj_N	0	68	#
start	5	"For example , to [start] to be engaged in fitness ."	start	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	70	#
engaged	8	"For example , to start to be [engaged] in fitness ."	engage	0	1	dobj_N:prep=>pobj	in	dobj_N:prep=>pobj	in	70	#
wearing	3	Sue is [wearing] in brown sweater and jeans .	wear	0	0	prep=>pobj	in	dobj_N	0	71	#
born	3	I was [born] in 1950 .	bear	1	0	dobj_N:prep=>pobj	in	dobj_N:prep=>pobj	in	73	[born] not a verb
is	5	The most important thing [is] how to deal with it .	be	0	0	xcomp_WHCOMP	0	xcomp_WHCOMP	0	75	#
deal	8	The most important thing is how to [deal] with it .	deal	0	0	prep=>pobj	with	prep=>pobj	with	75	#
find	3	If you [find] strange why I do n't work on Monday ?	find	0	0	newframe	0	newframe	0	78	newframe:ccomp_WHCOMP:xcomp_ADJ; newframe:ccomp_VTENSED=>mark-that:dobj_N:xcomp_ADJ
work	9	If you find strange why I do n't [work] on Monday ?	work	0	0	su	0	su	0	78	#
located	5	This stunning apartment is [located] in the prime Pacific Heights area .	locate	0	1	prep=>pobj	in	prep=>pobj	in	79	#
spend	4	She decided to [spend] much time with her daughter .	spend	0	0	dobj_N:prep=>pobj	with	dobj_N:prep=>pobj	with	82	#
spend	7	"First of all , I must [spend] four years finishing my university life ."	spend	0	0	dobj_N:xcomp_VING	0	dobj_N:xcomp_VING	0	83	#
'm	2	"I ['m] 29 years old on Saturday , December 4rd , and I 'm having a party ."	be	0	0	acomp	0	acomp	0	84	#
was	2	I [was] sure you had known about it .	be	0	0	acomp	0	acomp	0	85	newframe: ccomp_VTENSED:xcomp_ADJ
known	6	I was sure you had [known] about it .	know	0	0	prep=>pobj	about	prep=>pobj	about	85	#
got	16	"As she approached the corner at Elm and Forth , she saw a young couple [got] out of a car ."	get	0	0	prep=>pobj	out of	prep=>pobj	out of	86	#
live	2	I [live] in Wenzhou with my wife and daughter .	live	0	0	prep=>pobj:prep=>pobj	in-with	prep=>pobj:prep=>pobj	in-with	87	#
met	3	He just [met] a client whom felt unpleasant caused by career path confusion .	meet	0	0	dobj_N	0	dobj_N	0	91	#
felt	7	He just met a client whom [felt] unpleasant caused by career path confusion .	feel	0	0	acomp	0	acomp	0	91	#
caused	9	He just met a client whom felt unpleasant [caused] by career path confusion .	cause	0	1	dobj_N	0	dobj_N	by	91	#
throw	8	"To sum up , I want to [throw] a lot of bricks at her , in order to protect the young people ."	throw	0	0	dobj_N:prep=>pobj	at	dobj_N:prep=>pobj	at	92	#
do	8	"Another thing that i will have to [do] , will be collect some information about the company , for example what kind of proffesional that they prefer to employ ."	do	0	0	dobj_N	0	dobj_N	0	98	#
be	11	"Another thing that i will have to do , will [be] collect some information about the company , for example what kind of proffesional that they prefer to employ ."	be	0	0	xcomp_VBARE	0	xcomp_VBARE=>aux_TO	0	98	#
look	2	I [look] forward to the start of classes .	look	0	0	prep=>pobj:prt	to-forward	prep=>pobj:prt	to-forward	99	#
be	3	Companies would [be] able to safe a lot of money because there would be no need for them to buy expensive equipment and to rent large offices .	be	0	0	acomp	0	acomp	0	101	#
called	5	For someone that 's [called] Hiro it have to be this way for sure .	call	1	0	dobj_N:xcomp_N	0	dobj_N:xcomp_N	0	103	#
is	17	"If someone is looking for a good translator and market options are not satisfactory , it [is] better to wait one more week !"	be	0	0	acomp	0	acomp	0	109	#
turn	2	then [turn] left at Green Ave.	turn	0	0	advmod	0	advmod	0	112	#
working	4	"You will be [working] with crocodiles , it is so exhilarating !"	work	0	0	prep=>pobj	with	prep=>pobj	with	116	#
is	9	"You will be working with crocodiles , it [is] so exhilarating !"	be	0	0	acomp	0	acomp	0	116	#
vote	3	"If you [vote] me in the presidents office I promise that , for once , your voice will be heard ."	vote	0	0	dobj_N:prep=>pobj	in	dobj_N:prep=>pobj	in	117	#
be	3	I could [be] over at your house within half an hour if you feel the urge to speak to somebody in person .	be	0	0	prep=>pobj:prt	at-over	prep=>pobj:prt	at-over	121	#
line	3	"then , [line] up the the bottles which filled with a little waterin rows of 4 , then 3 , then 2 , then 1 ."	line	0	0	dobj_N:prep=>pobj:prt	in-up	dobj_N:prep=>pobj:prt	in-up	122	#
filled	9	"then , line up the the bottles which [filled] with a little waterin rows of 4 , then 3 , then 2 , then 1 ."	fill	0	1	dobj_N:prep=>pobj	with	dobj_N:prep=>pobj	with	122	#
be	4	And you will [be] able to do daily and simple activities that previously you would n't because of an irrational fear .	be	0	0	acomp	0	acomp	0	125	#
break	11	Hope Gavin 's movie be succesful and they will never [break] up .	break	0	0	prt	up	prt	up	126	#
have	3	It It [have] n't against indications .	have	0	0	prep=>pobj	against	dobj_N	0	127	#
affected	31	Further more I will build up a better cooperation with the head teacher which will ensure a better relation between those who make decisions and us students who are mainly [affected] by them .	affect	1	0	dobj_N	0	dobj_N	0	132	#
like	12	"You must clean the house in morning everyday , because I [like] my house cleanly ."	like	0	0	advmod:dobj_N	0	dobj_N:xcomp_ADJ	0	142	#
was	9	I startet elementary school in 1956 when I [was] seven years old and I started playing the violin when I was 7 years old .	be	0	0	acomp	0	acomp	0	144	#
was	21	I startet elementary school in 1956 when I was seven years old and I started playing the violin when I [was] 7 years old .	be	0	0	acomp	0	acomp	0	144	#
